status,accident_index,accident_year,accident_ref_no,vehicle_reference,vehicle_type,vehicle_text
Unvalidated,2021010315323,2021,010315323,1,90,Scooter - Electric Scooter
Unvalidated,2021010315395,2021,010315395,1,90,Scooter - Electric Scooter
Unvalidated,2021010315618,2021,010315618,1,90,Scooter - Electric Scooter
Unvalidated,2021010315620,2021,010315620,1,90,Scooter - Electric Scooter
Unvalidated,2021010315924,2021,010315924,2,90,Scooter - Electric Scooter
Unvalidated,2021010315949,2021,010315949,2,90,Scooter - Electric Scooter
Unvalidated,2021010316249,2021,010316249,1,90,Scooter - Electric Scooter
Unvalidated,2021010316442,2021,010316442,1,90,Scooter - Electric Scooter
Unvalidated,2021010316596,2021,010316596,2,90,Scooter - Electric Scooter
Unvalidated,2021010316604,2021,010316604,1,90,Scooter - Electric Scooter
Unvalidated,2021010317977,2021,010317977,2,90,Scooter - Electric Scooter
Unvalidated,2021010318333,2021,010318333,1,90,Scooter - Electric Scooter
Unvalidated,2021010322832,2021,010322832,1,90,Scooter - Electric Scooter
Unvalidated,2021031015290,2021,031015290,2,90,Scooter - Electric Scooter
Unvalidated,2021041015095,2021,041015095,1,90,Scooter - Electric Scooter
Unvalidated,2021041020996,2021,041020996,2,90,Scooter - Electric Scooter
Unvalidated,2021041038664,2021,041038664,1,90,Scooter - Electric Scooter
Unvalidated,2021041038792,2021,041038792,1,90,Scooter - Electric Scooter
Unvalidated,2021041042114,2021,041042114,1,90,Scooter - Electric Scooter
Unvalidated,2021041043717,2021,041043717,1,90,Scooter - Electric Scooter
Unvalidated,2021041051544,2021,041051544,1,90,Scooter - Electric Scooter
Unvalidated,2021041052930,2021,041052930,2,90,Scooter - Electric Scooter
Unvalidated,2021041059071,2021,041059071,1,90,Scooter - Electric Scooter
Unvalidated,2021041062800,2021,041062800,1,90,Scooter - Electric Scooter
Unvalidated,2021061027026,2021,061027026,1,90,Scooter - Electric Scooter
Unvalidated,2021061040580,2021,061040580,2,90,Scooter - Electric Scooter
Unvalidated,2021061043411,2021,061043411,1,90,Scooter - Electric Scooter
Unvalidated,2021061043420,2021,061043420,2,90,Scooter - Electric Scooter
Unvalidated,2021061050259,2021,061050259,2,90,Scooter - Electric Scooter
Unvalidated,2021061069368,2021,061069368,1,90,Scooter - Electric Scooter
Unvalidated,2021061069549,2021,061069549,1,90,Scooter - Electric Scooter
Unvalidated,2021070307414,2021,070307414,1,90,Scooter - Electric Scooter
Unvalidated,2021070341563,2021,070341563,1,90,Scooter - Electric Scooter
Unvalidated,2021101039967,2021,101039967,1,90,Scooter - Electric Scooter
Unvalidated,2021101041287,2021,101041287,1,90,Scooter - Electric Scooter
Unvalidated,2021101045405,2021,101045405,1,90,Scooter - Electric Scooter
Unvalidated,2021101052895,2021,101052895,1,90,Scooter - Electric Scooter
Unvalidated,2021101055229,2021,101055229,2,90,Scooter - Electric Scooter
Unvalidated,2021101055737,2021,101055737,1,90,Scooter - Electric Scooter
Unvalidated,2021101057507,2021,101057507,1,90,Scooter - Electric Scooter
Unvalidated,2021101064799,2021,101064799,1,90,Scooter - Electric Scooter
Unvalidated,2021122100704,2021,122100704,1,90,Scooter - Electric Scooter
Unvalidated,2021138130789,2021,138130789,2,90,Scooter - Electric Scooter
Unvalidated,2021141037390,2021,141037390,2,90,Scooter - Electric Scooter
Unvalidated,2021141038763,2021,141038763,2,90,Scooter - Electric Scooter
Unvalidated,2021161012915,2021,161012915,2,90,Scooter - Electric Scooter
Unvalidated,2021161032824,2021,161032824,1,90,Scooter - Electric Scooter
Unvalidated,2021161050346,2021,161050346,1,90,Scooter - Electric Scooter
Unvalidated,2021170M10161,2021,170M10161,1,90,Scooter - Electric Scooter
Unvalidated,2021201024998,2021,201024998,2,90,Scooter - Electric Scooter
Unvalidated,2021201031310,2021,201031310,1,90,Scooter - Electric Scooter
Unvalidated,2021201031437,2021,201031437,1,90,Scooter - Electric Scooter
Unvalidated,2021201041624,2021,201041624,1,90,Scooter - Electric Scooter
Unvalidated,2021201042887,2021,201042887,1,90,Scooter - Electric Scooter
Unvalidated,2021201056695,2021,201056695,2,90,Scooter - Electric Scooter
Unvalidated,2021201056730,2021,201056730,2,90,Scooter - Electric Scooter
Unvalidated,2021201057958,2021,201057958,2,90,Scooter - Electric Scooter
Unvalidated,2021201058844,2021,201058844,1,90,Scooter - Electric Scooter
Unvalidated,2021201060164,2021,201060164,1,90,Scooter - Electric Scooter
Unvalidated,2021201060352,2021,201060352,1,90,Scooter - Electric Scooter
Unvalidated,2021201062179,2021,201062179,2,90,Scooter - Electric Scooter
Unvalidated,2021201065183,2021,201065183,2,90,Scooter - Electric Scooter
Unvalidated,2021201066574,2021,201066574,2,90,Scooter - Electric Scooter
Unvalidated,2021201071381,2021,201071381,2,90,Scooter - Electric Scooter
Unvalidated,2021201073864,2021,201073864,1,90,Scooter - Electric Scooter
Unvalidated,2021201076490,2021,201076490,2,90,Scooter - Electric Scooter
Unvalidated,2021201079095,2021,201079095,1,90,Scooter - Electric Scooter
Unvalidated,2021201079794,2021,201079794,1,90,Scooter - Electric Scooter
Unvalidated,2021201079906,2021,201079906,1,90,Scooter - Electric Scooter
Unvalidated,2021201082269,2021,201082269,2,90,Scooter - Electric Scooter
Unvalidated,2021201084734,2021,201084734,1,90,Scooter - Electric Scooter
