status,accident_index,accident_year,accident_reference,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
Unvalidated,2021010287891,2021,010287891,2,1,1,2,30,6,3,0,0,0,0,0,3,1,4
Unvalidated,2021010287897,2021,010287897,1,1,1,1,39,7,3,0,0,0,0,0,9,1,2
Unvalidated,2021010287898,2021,010287898,1,1,1,1,17,4,3,0,0,0,0,0,4,1,3
Unvalidated,2021010287900,2021,010287900,2,1,1,1,34,6,3,0,0,0,0,0,2,1,4
Unvalidated,2021010287901,2021,010287901,1,1,1,1,44,7,3,0,0,0,0,0,9,1,2
Unvalidated,2021010287902,2021,010287902,2,1,1,2,33,6,3,0,0,0,0,0,1,1,4
Unvalidated,2021010287905,2021,010287905,1,1,1,1,29,6,3,0,0,0,0,0,9,1,2
Unvalidated,2021010287906,2021,010287906,1,1,1,1,46,8,3,0,0,0,0,0,9,1,2
Unvalidated,2021010287908,2021,010287908,1,1,1,1,45,7,3,0,0,0,0,0,5,1,4
Unvalidated,2021010287914,2021,010287914,2,1,1,1,28,6,3,0,0,0,0,0,90,1,2
Unvalidated,2021010287916,2021,010287916,1,1,1,1,55,8,3,0,0,0,0,0,9,1,6
Unvalidated,2021010287918,2021,010287918,1,1,1,1,21,5,3,0,0,0,0,0,3,1,1
Unvalidated,2021010287919,2021,010287919,1,1,1,2,37,7,3,0,0,0,0,0,9,1,1
Unvalidated,2021010287921,2021,010287921,1,1,1,1,16,4,3,0,0,0,0,0,9,1,5
Unvalidated,2021010287923,2021,010287923,2,1,2,2,21,5,3,0,0,2,0,0,9,1,2
Unvalidated,2021010287923,2021,010287923,2,2,2,2,22,5,3,0,0,2,0,0,9,1,3
Unvalidated,2021010287924,2021,010287924,1,1,1,1,47,8,3,0,0,0,0,0,9,1,7
Unvalidated,2021010287924,2021,010287924,2,2,1,1,26,6,2,0,0,0,0,0,9,1,5
